TEXT	TEXT_TN	TYPE	NOTE
Um there's also like beauty treatment	there's also like beauty treatment	5	um at sentence beginning(Um)
I can do this and i lived by myself um so i thought	I can do this and i lived by myself so i thought	5	um in the middle
as we move out of Q2	as we move out of Q two	2	"Seasons Q{1,2,3,4}"
and you can imagine if you're spending 120	and you can imagine if you're spending a hundred and twenty	2	3-digit cardinal
4-Mar-14	the fourth of march twenty fourteen		
1065520	one million sixty five thousand five hundred twenty		
PbSO4	lead two sulphate		
vol	volume		
23-Jul	july twenty third		
2007/11/24	the twenty fourth of november two thousand seven		
-3	minus three		
stuff it into you his belly counseled him	stuff it into you his belly counselled him	4	consel
number 10 fresh Nelly is waiting on you goodnight husband	number ten fresh Nelly is waiting on you goodnight husband	2	number 10
 he recalled the words the words of Shelly's fragment 	he recalled the words the words of Shelley's fragment	4	shelley
but the dusk deepening in the school room 	but the dusk deepening in the schoolroom 	8	schoolroom
then you can ask him questions on the catechism Daedalus	then you can ask him questions on the catechism Dedalus	4	Dedalus
The Retreat will begin on Wednesday afternoon in honor 	The Retreat will begin on Wednesday afternoon in honour 	4	honor
he still saw a reflection there in of their top heavy silk hats	he still saw a reflection therein of their top heavy silk hats	8	therein
words was it their colors	words was it their colours	4	color
the most part one touch of black is put for the Halo 2 	the most part one touch of black is put for the Halo two	2	number 2
 even their brightest sun sets produced chiefly out of gray paper	 even their brightest sunsets produced chiefly out of gray paper	8	sunsets
you know I've just been telling you	you know I have just been telling you	3	I've
may be realized completely	maybe realized completely	8	maybe
but now here's the subject of which you will wonder	but now here is the subject of which you will wonder	3	here is
her one Sheaf of corn to an old water mill 	her one Sheaf of corn to an old watermill 	8	watermill
house cleaning a domestic upheaval that makes it easy 	housecleaning a domestic upheaval that makes it easy 	8	housecleaning
land as soon as think the place where he would be but ah	land as soon as think the place where he would be but	5	ah in the end
he still held an honorable Place among the colonial magistracy	he still held an honourable Place among the colonial magistracy	4	honorable
yay his honorable worship is within 	his honorable worship is within 	5	yay in the beginning
little Pearl who was as greatly pleased with the gleaming armor 	little Pearl who was as greatly pleased with the gleaming armour	4	armor
there were a few rose bushes 	 there were a few rosebushes	8	rosebushes
in sight of the house of dr. pipped	 in sight of the house of doctor pipped 	1	dr
we're traveling reply dojo	 we are traveling reply dojo 	3	we're
I'm not allowed to perform magic 	 I am not allowed to perform magic	3	I'm
 all has been taking lessons of Glenda	all has been taking lessons of Glinda 	4	Glinda
practised intellects were intently engaged	practiced intellects were intently engaged 	4	practise
I knew was that which belonged to my servant banister a man 	I knew was that which belonged to my servant bannister one man 	4	bannister
now mr. soames at your disposal	 now mister soames at your disposal 	1	mr
I'm afraid there are no signs here said he	 I am afraid there are no signs here said he 	3	I'm
mr. soames was somewhat overwhelmed by this flood of information	 mister soames was somewhat overwhelmed by this flood of information 	1	mr
Holmes  stooped suddenly to the floor hello what's this	 Holmes stooped suddenly to the floor hello what is this 	3	what's
I will take the black clay with me also the pencil cuttings good bye	 I will take the black clay with me also the pencil cuttings goodbye 	4	goodbye
finally rested with an expression of blank dismay upon Banister	finally rested with an expression of blank dismay upon Banister 	4	Banister
her defense of the 15th Amendment	 her defense of the fifteenth Amendment 	2	15th
been looking up Toombs County	 been looking up Tooms County 	4	Toombs
their big plantations rated at 250 thousand dollars	 their big plantations rated at two hundred and fifty thousand dollars 	2	3-digit cardinal
sometime you tell me please won't you	 sometime you tell me please will not you 	3	won't
mrs. gray had met Southerners 	 missus gray had met Southerners	1	mrs.
positively heroic added Creswell avoiding his sister's eyes	 positively heroic added Cresswell avoiding his sister's eyes 	4	cresswell
Mary Taylor however related the tale of zorah to mrs. Graves	 Mary Taylor however related the tale of zorah to missus Graves 	1	mrs.
he started at the thought he hurried forth sadly	 he started at the thought he hurried fourth sadly 	4	forth
pain some one had dug a canal from the Lagoon to the creek 	pain someone had dug one canal from the Lagoon to the creek 	8	someone
an old box wide open and stuffed full of colored rags	 an old box wide open and stuffed full of coloured rags 	4	coloured
red tiles of the cow shed and turning even the muddy water 	red tiles of the cowshed and turning even the muddy water 	8	cowshed
mr. Oatley is indeed	mister Oatley is indeed 	1	mr.
I was only 11 years old 	I was only eleven years old	2	11
said mr. Irwin with his stately cordiality	 said mister Irwin with his stately cordiality 	3	mr
sir don't mention it said mrs. Poyser	 sir do not mention it said missus Poyser 	3	mrs.
" it was torn out no fewer than 3,000 lamps"	it was torn out no fewer than three thousand lamps 	2	3000
 it continued in active use until 1899 17 years	 it continued in active use until one thousand eight hundred and ninety nine seventeen years 	2	1899
 a farm house the alternating current in all elements 	  one farmhouse the alternating current in all elements 	8	farmhouse
the horse power was considered subject for congratulation	the horsepower was considered subject for congratulation 	8	horsepower
as good condition as when installed in 1883	as good condition as when installed in one thousand eight hundred and eighty three 	2	1883 year
there was infinite skepticism around him	 there was infinite skepticism around him 	4	skepticism
the principle employed in the Addison electrolytic m is that	 the principle employed in the Addison electrolytic meter is that 	4	meter
in December 1888 mr. W J jencks read an interesting paper 	 in December eighteeneighty eighth mister W J jencks read an interesting paper 	1	mr
the M continued in general service during 1899 	 the M continued in general service during one thousand eight hundred and ninety nine 	2	1899
it is 16 years since John birks and died	 it is sixteen years since John birks and died 	2	16
from the Norwegian graveyard one looks out over a vast checkerboard marked off in squares of Wheat and corn light and dark dark and Light	 from the Norwegian graveyard one looks out over one vast checkerboard marked off in squares of Wheat and corn light and dark dark and Light 		
from the graveyard gate one can count that doesn't gaily painted farmhouses the Gilded weathervanes on the Big Red Barn's wink at each other across the green and brown and yellow fields	 from the graveyard gate one can count that does not gaily painted farmhouses the Gilded weathervanes on the Big Red Barn's wink at each other across the green and brown and yellow fields 		
that summer the rains had been so many and opportune that it was almost more than shibata and his man could do to keep up with the corn the orchard was a neglected wilderness	 that summer the rains had been so many and opportune that it was almost more than shibata and his man could do to keep up with the corn the orchard was one neglected wilderness 		
Saturday August 15th the sea unbroken all around no land in sight	 Saturday August fifteenth the sea unbroken all around no land in sight 		
Sunday August 16th	 Sunday August sixteenth 		
I saw at the Hamburg Museum the skeleton of one of these creatures 30 feet in length	 I saw at the Hamburg Museum the skeleton of one of these creatures thirty feet in length 		
Tuesday August 18th	 Tuesday August eighteenth 		
the raft was heaved up on a watery mountain and pitched down again at a distance of 20 fathoms	 the raft was heaved up on one watery mountain and pitched down again at one distance of twenty fathoms 		
the atmosphere is charged with vapors pervaded with the electricity generated by the evaporation of saline Waters	 the atmosphere is charged with vapors pervaded with the electricity generated by the evaporation of saline Waters 		
won't she be Savage if I've kept her waiting	 wo not she be Savage if I have kept her waiting 		
so much for the title of the epistle now follows the greeting of the Apostle verse 3	 so much for the title of the epistle now follows the greeting of the Apostle verse three 		
he passes abruptly from persons to ideas and numbers and from ideas and numbers to persons from the Heavens to men from astronomy to physiology he confuses a rather does not distinguish subject and object first and final causes and is dreaming of geometrical figures lost in a flux of sense	 he passes abruptly from persons to ideas and numbers and from ideas and numbers to persons from the Heavens to men from astronomy to physiology he confuses one rather does not distinguish subject and object first and final causes and is dreaming of geometrical figures lost in one flux of sense 		
such consumption as falls through the women is merely incidental to their work it is a means to their continued labor and not to consumption directed to their own comfort and fullness of life	 such consumption as falls through the women is merely incidental to their work it is one means to their continued labor and not to consumption directed to their own comfort and fullness of life 		
she at Orion clergyman's daughter was always in a minority of one in our house of violent descent and radicalism	 she at Orion clergyman's daughter was always in one minority of one in our house of violent descent and radicalism 		
PS pricer excuse me for writing to you a second time I could not help writing partly to tell you how thankful I am for your kindness and partly to let you know that your advice shall not be wasted however sorrowfully and reluctantly it maybe at first followed CB	 PS pricer excuse me for writing to you one second time I could not help writing partly to tell you how thankful I am for your kindness and partly to let you know that your advice shall not be wasted however sorrowfully and reluctantly it maybe at first followed CB 		
Keswick March 22nd 1837 dear madam	 Keswick March twenty second one thousand eight hundred and thirty seven dear madam 		
on August 27th 1837 she writes	 on August twenty seventh one thousand eight hundred and thirty seven she writes 		
unfortunately the fracture could not be set till 6:00 the next morning as no surgeon was to be had before that time and she Now lies at our house in a very doubtful and dangerous state	 unfortunately the fracture could not be set till six:zero the next morning as no surgeon was to be had before that time and she Now lies at our house in one very doubtful and dangerous state 		
on the 6th of April 1830 the Church of Jesus Christ of Latter-day Saints was formally organized and thus took on a legal existence	 on the sixth of April eighteenthirtieth the Church of Jesus Christ of Latterday Saints was formally organized and thus took on one legal existence 		
a small settlement had been founded by Mormon families on Shoal Creek and here on the 30th of October 1838 a company of 240 fell upon the hapless settlers and butchered a score	 one small settlement had been founded by Mormon families on Shoal Creek and here on the thirtieth of October eighteenthirty eighth one company of two hundred and forty fell upon the hapless settlers and butchered one score 		
as a sample of the press comments against the brutality of the missourians I quote a paragraph from the Quincy Argos March 16th 1839	 as one sample of the press comments against the brutality of the missourians I quote one paragraph from the Quincy Argos March sixteenth one thousand eight hundred and thirty nine 		
he must care about the theater a great deal more than she used to	 he must care about the theater one great deal more than she used to 		
there's nothing else that looks so jolly	 there's nothing else that looks so jolly 		
there is hardly one day out of 100 which is holy joyous and sunny	 there is hardly one day out of one hundred which is holy joyous and sunny 		
oh very well said Gringo turning away with a shade of contempt you'll find if you are going into literature and newspaper work that you can't afford a conscience like that	very well said Gringo turning away with one shade of contempt you will find if you are going into literature and newspaper work that you can not afford one conscience like that 		
the night was spent in packing up and writing letters for Phillip would not take such an important step without informing his friends	 the night was spent in packing up and writing letters for Phillip would not take such an important step without informing his friends 		
grandfather was Alexander Kerry lld doctor of laws that is	 grandfather was Alexander Kerry lld doctor of laws that is 		
length of service 14 years 3 months and 5 days	 length of service fourteen years three months and five days 		
when a private in the 8th Cavalry he had been on the point of quitting the Army at 28 years of age but unexpectedly he had been appointed orderly to Captain serve a deck	 when one private in the eighth Cavalry he had been on the point of quitting the Army at twenty eight years of age but unexpectedly he had been appointed orderly to Captain serve one deck 		
the Earth has undoubtedly entered upon a new orbit but she is not incurring any probable risk of being precipitated on to the Sun	 the Earth has undoubtedly entered upon one new orbit but she is not incurring any probable risk of being precipitated on to the Sun 		
chapter 7 on the races of man	 chapter seven on the races of man 		
11 o'clock had Struck it was a fine clear night there were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the to lead ins in the valley or on the banks of their River	 eleven o'clock had Struck it was one fine clear night there were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the to lead ins in the valley or on the banks of their River 		
I boldly lighted my chroot	 I boldly lighted my chroot 		
taking advantage of this the squires few men redoubled their efforts and encourage by Robbins and the little strollers cries fought their way to him	 taking advantage of this the squires few men redoubled their efforts and encourage by Robbins and the little strollers cries fought their way to him 		
but who is this fellow plucking at your Steve	 but who is this fellow plucking at your Steve 		
it'll be no disappointment to me	 it will be no disappointment to me 		
50th tanned rested at last upon the top rung of a ladder and slowly the truth came to him	 fiftieth tanned rested at last upon the top rung of one ladder and slowly the truth came to him 		
where I in the warm room with all the splendour and magnificence	 where I in the warm room with all the splendour and magnificence 		
she was very fond of the young ladies whom she had known when Aunt Jane was their mistress here and Beth was her Especial favourites	 she was very fond of the young ladies whom she had known when Aunt Jane was their mistress here and Beth was her Especial favourites 		
well I'm convinced that the boarded-up house mystery happened not earlier than April 16th 1861 and probably not much later	 well I am convinced that the boardedup house mystery happened not earlier than April sixteenth one thousand eight hundred and sixty one and probably not much later 		
in the light of the Moon I saw a knife red with blood and my hand to was also discolored	 in the light of the Moon I saw one knife red with blood and my hand to was also discolored 		
it is indeed true that the importance of tact and skill in the training of the young and of cultivating their reason and securing their affection cannot be overrated	 it is indeed true that the importance of tact and skill in the training of the young and of cultivating their reason and securing their affection cannot be overrated 		
let him come in then said the king and is if Colbert had been listening at the door for the purpose of keeping himself ah Courant with the conversation he entered as soon as the king had pronounced his name to the two courtiers	 let him come in then said the king and is if Colbert had been listening at the door for the purpose of keeping himselfCourant with the conversation he entered as soon as the king had pronounced his name to the two courtiers 		
but this frequent ER of the heights of air for all his Savage Valor was troubled at the leaping waves in the tossing foam of these mad Rapids he did not understand them	 but this frequent ER of the heights of air for all his Savage Valor was troubled at the leaping waves in the tossing foam of these mad Rapids he did not understand them 		
"this severity by which montrose's sullied his victories was the result of private animosity against the chieftain as much as of zeal for the public cause Argyll collecting 3,000 men marched in quest of the enemy who had retired with their plunder and he lay at inner locky supposing himself still at a considerable distance from them"	" this severity by which montrose's sullied his victories was the result of private animosity against the chieftain as much as of zeal for the public cause Argyll collecting three,zero men marched in quest of the enemy who had retired with their plunder and he lay at inner locky supposing himself still at one considerable distance from them "		
habit is a concept involving the occurrence of similar events at different times if the behaviorist feels confident that there is such a phenomenon as habit that can only be because he trusts his memory when it assures him that there have been other times	 habit is one concept involving the occurrence of similar events at different times if the behaviorist feels confident that there is such one phenomenon as habit that can only be because he trusts his memory when it assures him that there have been other times 		
Simmons two books mentioned in an earlier lecture do not touch knowledge memory at all closely	 Simmons two books mentioned in an earlier lecture do not touch knowledge memory at all closely 		
this reality begins to explain the dark power and otherworldly fascination of 20000 Leagues Under the Sea	 this reality begins to explain the dark power and otherworldly fascination of twenty thousand Leagues Under the Sea 		
fathom 6 feet	 fathom six feet 		
mg roughly 128 thousandth of an ounce	 mg roughly one hundred and twenty eight thousandth of an ounce 		
M roughly 1 yard 3 inches	 M roughly one yard three inches 		
mm roughly 1/25 of an inch	 mm roughly one twenty fifth of an inch 		
I have a uncle who has one favorite company in Korea	I have one uncle who has one favorite company in Korea 		
then in 2000 he and his wife started a garment business of Their Own	 then in two thousand he and his wife started one garment business of Their Own 		
it was called Forever 21	 it was called Forever twenty one 		
Forever 21's rise to fast fashion dominance was dizzying	 Forever twenty one's rise to fast fashion dominance was dizzying 		
despite those for 99 leggings	 despite those for ninety nine leggings 		
there's also like Beauty treatment beauty makeup at the spa	 there's also like Beauty treatment beauty makeup at the spa 		
and also create Town LA in essence is the headquarter for Korean America USA	 and also create Town LA in essence is the headquarter for Korean America USA 		
but in essence like as a clean American knowing there's Korea tail and all the people that I've been able to meet because this space allows our communities to come together and to be visible I don't feel alone	 but in essence like as one clean American knowing there's Korea tail and all the people that I have been able to meet because this space allows our communities to come together and to be visible I do not feel alone 		
mrs. Chang was a hairdresser when they moved to LA they took a series of menial jobs to make ends meet	 missus Chang was one hairdresser when they moved to LA they took one series of menial jobs to make ends meet 		
people started to sell that merchandise	 people started to sell that merchandise 		
so we took a trip to 56-37 North Figueroa Street and cruise around the shop for a bit	 so we took one trip to five thousand six hundred and thirty seven North Figueroa Street and cruise around the shop for one bit 		
hmm meaning the design is not meant to last or the clothing is not meant to last	meaning the design is not meant to last or the clothing is not meant to last 		
"it's more than 800,000 square feet of Prada Fendi and Balenciaga"	" it's more than eight hundred,zero square feet of Prada Fendi and Balenciaga "		
tucked into a corner on level 8 is xxi forever which I guess is Forever 21 but make it luxury	 tucked into one corner on level eight is xxi forever which I guess is Forever twenty one but make it luxury 		
in 2004 it filed for bankruptcy	 in two thousand and four it filed for bankruptcy 		
"by 2011 Forever 21 had almost 500 stores around the country and employed 35,000 people"	" by two thousand and eleven Forever twenty one had almost five hundred stores around the country and employed thirty five,zero people "		
hmm mr. Chang had to review every single real estate contract and was involved with the opening of every new store which at the pace that they are expanding is is a huge responsibility	mister Chang had to review every single real estate contract and was involved with the opening of every new store which at the pace that they are expanding is is one huge responsibility 		
they 100% when talk to us for the story though we did Reach Out	 they one hundred percent when talk to us for the story though we did Reach Out 		
you know knowing and at least I see that domestically I mean in the US they knew who she was	 you know knowing and at least I see that domestically I mean in the US they knew who she was 		
again that's fiverr.com code spectacular	 again that's fiverr dot com code spectacular 		
Eden Goldblum is a 16 year old high school junior who lives just outside of Washington DC	 Eden Goldblum is one sixteen year old high school junior who lives just outside of Washington DC 		
I left Forever 21 $15.50 lighter and perhaps more confused than I had been before about how the Brand's business model could possibly make sense	 I left Forever twenty one fifteen point five zero  dollars lighter and perhaps more confused than I had been before about how the Brand's business model could possibly make sense 		
Susan scaffidi is the founder of the fashion law Institute at Fordham University and you basically invented the field of fashion law	 Susan scaffidi is the founder of the fashion law Institute at Fordham University and you basically invented the field of fashion law 		
we have a tiny bit of copyright protection at least since the 1960s for two dimensional elements of fashion things like fabric prints or lace designs	 we have one tiny bit of copyright protection at least since the nineteen sixties for two dimensional elements of fashion things like fabric prints or lace designs 		
so basically the polo pony on your chest or the giant GG on your belt buckle those are protected	 so basically the polo pony on your chest or the giant GG on your belt buckle those are protected 		
99 sandwiches all together	 ninety nine sandwiches all together 		
oh wow I cannot believe it I'd account made a counting mistake	wow I cannot believe it I'd account made one counting mistake 		
and this season in honor of the 50th anniversary of the Stonewall Uprising we're highlighting voices of lgbtq people across America stories from those who lived before Stonewall to today	 and this season in honor of the fiftieth anniversary of the Stonewall Uprising we are highlighting voices of lgbtq people across America stories from those who lived before Stonewall to today 		
the experiment has been repeated many many times since it was first done by Walter mischel in the late 1960s	 the experiment has been repeated many many times since it was first done by Walter mischel in the late nineteen sixties 		
but generally I think Ombudsman across the UK are underfunded	 but generally I think Ombudsman across the UK are underfunded 		
my grandfather belonged to Thomas Jefferson my grandfather was 115 years old when he died and now I am 101 years	 my grandfather belonged to Thomas Jefferson my grandfather was one hundred and fifteen years old when he died and now I am one hundred and one years 		
so you kind of have to put yourself in the scene it is June of 1776 and Thomas Jefferson	 so you kind of have to put yourself in the scene it is June of one thousand seven hundred and seventy six and Thomas Jefferson 		
but most Americans don't know is that while he is writing these lofty words for liberation	 but most Americans do not know is that while he is writing these lofty words for liberation 		
"the enslaved population has grown from 20 to now 500,000 people fully one-fifth of the population is now enslaved"	" the enslaved population has grown from twenty to now five hundred,zero people fully onefifth of the population is now enslaved "		
on August 14th 1862 Abraham Lincoln invites 5 free black men to the White House for a meeting	 on August fourteenth one thousand eight hundred and sixty two Abraham Lincoln invites five free black men to the White House for one meeting 		
so of course the very first amendment that they have to pass is the 13th Amendment which abolishes the institution of slavery	 so of course the very first amendment that they have to pass is the thirteenth Amendment which abolishes the institution of slavery 		
and in 1968 350 years after the introduction of the first enslaved Africans into the colonies	 and in one thousand nine hundred and sixty eight three hundred and fifty years after the introduction of the first enslaved Africans into the colonies 		
this episode of cocaine and rhinestones is the second episode in a three-part series on Harper Valley PTA	 this episode of cocaine and rhinestones is the second episode in one threepart series on Harper Valley PTA 		
none of that strip down Nashville Sounds stuff the industry bent over backwards to push it pop audiences Jeanne was achieving crossover success with one of the most unsophisticated Texas twangs you've ever heard	 none of that strip down Nashville Sounds stuff the industry bent over backwards to push it pop audiences Jeanne was achieving crossover success with one of the most unsophisticated Texas twangs you have ever heard 		
love it or hate it everyone talks about it according to Jeannie she and Mickey take a copy over to Ralph Emery at WSM	 love it or hate it everyone talks about it according to Jeannie she and Mickey take one copy over to Ralph Emery at WSM 		
his second mistake was releasing her from her contract on April 3rd of 1968 for months before she recorded Harper Valley PTA	 his second mistake was releasing her from her contract on April third of one thousand nine hundred and sixty eight for months before she recorded Harper Valley PTA 		
searching Jeannie and Aubrey's names together only brings up information about them having worked together and information about this lawsuit but listen even if Phil Blackman is 100% our be Mayhew	 searching Jeannie and Aubrey's names together only brings up information about them having worked together and information about this lawsuit but listen even if Phil Blackman is one hundred percent our be Mayhew 		
and even if we choose to 100% believe everything Genie says about him that still doesn't mean our we met Hugh took those pictures Genie says she had him burn the envelope without looking inside	 and even if we choose to one hundred percent believe everything Genie says about him that still does not mean our we met Hugh took those pictures Genie says she had him burn the envelope without looking inside 		
she gets to pick Wild Mountain berries with Glen Campbell on TV	 she gets to pick Wild Mountain berries with Glen Campbell on TV 		
she tells the story of the first time she tries pie having an intensely spiritual vision that sends her into a Fugue state for close to 24 hours and sounds more like an Ayahuasca trip than any weed I've ever smoked	 she tells the story of the first time she tries pie having an intensely spiritual vision that sends her into one Fugue state for close to twenty four hours and sounds more like an Ayahuasca trip than any weed I have ever smoked 		
the only other woman to do that in the 1900s is Dolly Parton with 925 in 1981 making Genie the first woman to ever do it if you don't count the farce with Little Darlin	 the only other woman to do that in the nineteen hundreds is Dolly Parton with nine hundred and twenty five in one thousand nine hundred and eighty one making Genie the first woman to ever do it if you do not count the farce with Little Darlin 		
it went to number six on the country chart and number 55 on the Billboard Hot 100 I would call that a hit song	 it went to number six on the country chart and number fifty five on the Billboard Hot one hundred I would call that one hit song 		
but this stuff was all recorded before anyone thought of Jeannie see Riley as the loudest voice calling BS on American society so none of the songs fit that album title or her image	 but this stuff was all recorded before anyone thought of Jeannie see Riley as the loudest voice calling BS on American society so none of the songs fit that album title or her image 		
up until the mid-70s the quality of her music remained pretty consistent here's her next top 10 country girl	 up until the midseventies the quality of her music remained pretty consistent here's her next top ten country girl 		
